  -1.6000510e+01  -4.5370822e+01
  -1.0596231e+01  -3.6104948e+01
  -6.0457280e+00  -2.7268957e+01
  -2.7055129e+00  -1.8322021e+01
  -6.7858162e-01  -9.2104384e+00
  -0.0000000e+00   0.0000000e+00
  -6.7858162e-01   9.2104384e+00
  -2.7055129e+00   1.8322021e+01
  -6.0457280e+00   2.7268957e+01
  -1.0596231e+01   3.6104948e+01
  -1.6000510e+01   4.5370822e+01
  -6.0777112e+01   3.5089682e+01
  -7.0029770e+01   2.5346668e+01
  -7.5943677e+01   1.3281690e+01
  -7.7977071e+01   0.0000000e+00
  -7.5943677e+01  -1.3281690e+01
  -7.0029770e+01  -2.5346668e+01
  -6.0777112e+01  -3.5089682e+01
